,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
3,103,科迪-泽勒,黄蜂,12.10,4.60-8.80,52.6%,0.80-2.00,38.5%,2.10-2.90,71.1%,13,26.10
4,103,乔纳森-艾萨克,魔术,12.10,4.50-9.00,49.5%,1.30-3.50,35.9%,1.90-2.10,91.3%,11,30.60
5,105,帕蒂-米尔斯,马刺,11.80,4.10-8.90,46.8%,1.90-4.80,40.3%,1.60-2.00,78.6%,14,21.10
6,105,马库斯-斯马特,凯尔特人,11.80,4.00-10.50,38%,2.70-7.20,37.2%,1.10-1.40,83.3%,13,31.50
7,107,迈尔斯-布里奇斯,黄蜂,11.70,4.60-10.30,45.1%,1.60-4.40,36.1%,0.90-1.30,66.7%,14,31.10
8,107,戴维斯-贝尔坦斯,奇才,11.70,4.00-9.30,43.1%,3.00-7.20,41.8%,0.70-0.80,88.9%,11,27.60
9,107,丹纽尔-豪斯,火箭,11.70,3.80-8.10,47.2%,2.50-5.60,45.9%,1.50-1.90,81%,11,29.60
10,110,马基夫-莫里斯,活塞,11.60,4.20-9.30,45.5%,1.70-4.20,40.7%,1.50-2.00,73.1%,13,25.60
11,111,罗德尼-胡德,开拓者,11.50,4.20-8.80,48.2%,1.80-3.70,47.9%,1.20-1.50,80%,13,30.10
12,111,布鲁克-洛佩斯,雄鹿,11.50,3.90-9.50,41.5%,1.50-5.20,27.9%,2.20-2.50,90.6%,13,27.10
13,113,安芬尼-西蒙斯,开拓者,11.40,4.10-9.40,44%,1.70-4.60,37.7%,1.40-1.90,75%,15,22.30
14,114,里乔恩-霍姆斯,国王,11.30,4.80-7.50,63.9%,0.00-0.00,0%,1.80-2.20,79.3%,13,26.70
15,114,格伦-罗宾逊三世,勇士,11.30,4.50-9.50,47.9%,1.10-3.00,37.8%,1.10-1.20,88.9%,15,31.30
16,116,鲁迪-盖伊,马刺,11.20,4.10-8.60,48.3%,0.90-3.10,29.5%,2.00-2.40,84.8%,14,22.10
17,117,诺曼-鲍威尔,猛龙,11.10,3.90-8.80,43.9%,1.50-4.40,33.3%,1.90-2.40,80.6%,13,26.30
18,118,内马尼亚-别利察,国王,10.90,4.30-7.90,54.4%,2.10-4.10,50.9%,0.20-0.30,75%,13,25.50
19,119,米切尔-罗宾逊,尼克斯,10.70,4.40-6.20,71%,0.00-0.00,0%,1.90-2.60,73.1%,10,18.90
20,119,加里-哈里斯,掘金,10.70,4.20-10.10,41.3%,1.40-4.10,34.7%,0.90-1.20,73.3%,12,31.60
21,119,特伦斯-罗斯,魔术,10.70,3.60-10.20,35.7%,1.50-6.20,25%,1.90-2.00,95.5%,11,22.90
22,119,弗兰克-卡明斯基,太阳,10.70,3.50-8.30,41.7%,1.10-3.80,28.6%,2.70-3.80,70%,13,23.90
