20191030,松江,泗泾,沪松公路2775号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350390/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,新家园路251弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862793/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,横港路149、151号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169253/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,世界汇(写字楼),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057676/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,横港路37-45号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169269/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,开江东路224号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010795302530856/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,30户
20191030,松江,泗泾,叶家村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014657/,1996年建成 ,未知,暂无信息,似水,似水房地产开发有限公司,3,3户
20191030,松江,泗泾,泗滨路666弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000786/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,20,1392户
20191030,松江,泗泾,南村小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020105/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,松江,泗泾,融创壹号公馆,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025179998748/,暂无信息 ,板楼,暂无信息,融创物业服务集团有限,暂无信息,31,894户
20191030,松江,泗泾,塘和家园海康苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020037134467628/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,20,1520户
20191030,松江,泗泾,项山商业广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020036425426580/,暂无信息 ,板楼,10元/平米/月,上海宏鹿实业有限,上海韵意房地产开发有限公司,3,63户
20191030,松江,泗泾,泗通路246号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5018106526740719/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,60户
20191030,松江,泗泾,鼓楼公路1183号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000374/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,新南丽都(办公楼),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012117/,2008年建成 ,塔楼/板楼,3.88元/平米/月,暂无信息,暂无信息,3,343户
20191030,松江,泗泾,泗砖路1弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019032/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,22,80户
20191030,松江,泗泾,横塘桥村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019050/,1985年建成 ,板楼,0.5元/平米/月,大和,暂无信息,52,57户
20191030,松江,泗泾,开江中路329号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057831/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路2517弄56,58,60号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350380/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,新凯城枫景苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001262/,2013年建成 ,板楼,1.2元/平米/月,暂无信息,上海新凯房地产开发有限公司,28,1928户
